"riactivityId","riactivityTypeName","year","date","domainName","interventionAreaName"
"docdbRS883U","Patent",2007,"2007-01-01","ICT","Artificial intelligence and robotics"
"docdbRS20100132A","Patent",2011,"2011-01-01","Food","Food systems"
"docdbWO2015041556A1","Patent",2015,"2015-01-01","Process industries and materials","Advanced materials"
"docdbRS20090179A","Patent",2011,"2011-01-01","Heavy machinery","Energy storage"
"docdbEP2278199A1","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2013074037A1","Patent",2013,"2013-01-01","ICT","Artificial intelligence and robotics"
"EACEA-522576","Culture",2012,"2012-01-01","ICT","Cultural heritage"
"docdbRS20070170A","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-536581","Culture",2013,"2013-01-01","Better societies - governance, culture, education and the economy","Next generation internet"
"docdbUS2012149657A1","Patent",2012,"2012-01-01","Health & wellbeing","Health care systems"
"CORDIS-189039","FP7",2013,"2013-09-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20130338A1","Patent",2015,"2015-01-01","Health & wellbeing","Low-carbon and clean industries"
"552350-CREA-1-2014-1-SE-CULT-COOP2","Creative Europe",2014,"2014-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbEP2750567A1","Patent",2014,"2014-01-01","Food","Food systems"
"docdbRS20140400A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"EACEA-513493","Culture",2011,"2011-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"CORDIS-211960","H2020",2017,"2017-10-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbUS2011294711A1","Patent",2011,"2011-01-01","Food","Tools, technologies and digital solutions for health"
"docdbRS20100096A","Patent",2011,"2011-01-01","Process industries and materials","Advanced materials"
"docdbRS20100057A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-92318","FP7",2009,"2009-09-01","Process industries and materials","Advanced materials"
"docdbWO2015065217A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050271A","Patent",2008,"2008-01-01","Energy","Low-carbon and clean industries"
"docdbRS860U","Patent",2007,"2007-01-01","Transport","Clean transport and mobility"
"docdbRS1254U","Patent",2012,"2012-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070225A","Patent",2010,"2010-01-01","Energy","Advanced materials"
"docdbRS20120471A1","Patent",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"docdbRS20050781A","Patent",2007,"2007-01-01","Process industries and materials","Environmental and social health determinants"
"CORDIS-193324","H2020",2015,"2015-06-01","ICT","Social and economic transformations"
"docdbRS20070296A","Patent",2009,"2009-01-01","Heavy machinery","Energy supply"
"docdbRS20090480A","Patent",2011,"2011-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070319A","Patent",2009,"2009-01-01","Energy","Energy storage"
"docdbWO2008052227A1","Patent",2008,"2008-01-01","Heavy machinery","Advanced materials"
"CORDIS-210276","H2020",2017,"2017-01-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20150841A1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20060618A","Patent",2008,"2008-01-01","Heavy machinery","Health care systems"
"docdbRS20070021A","Patent",2009,"2009-01-01","Energy","Energy supply"
"CORDIS-207448","H2020",2017,"2017-01-01","Health & wellbeing","Social and economic transformations"
"docdbRS20130226A1","Patent",2013,"2013-01-01","Process industries and materials","Advanced materials"
"docdbRS20090054A","Patent",2010,"2010-01-01","Energy","Low-carbon and clean industries"
"EACEA-522539","Culture",2012,"2012-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS20110093A1","Patent",2013,"2013-01-01","Energy","Energy supply"
"docdbRS20130495A1","Patent",2015,"2015-01-01","Heavy machinery","Food systems"
"CORDIS-93903","FP7",2010,"2010-01-01","ICT","Social and economic transformations"
"docdbRS20050781A","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbUS2014284832A1","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20070277A","Patent",2009,"2009-01-01","Heavy machinery","Advanced materials"
"docdbRS20080397A","Patent",2010,"2010-01-01","Process industries and materials","Advanced materials"
"docdbUS2015223399A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS54714B1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-193324","H2020",2015,"2015-06-01","ICT","Advanced computing and Big Data"
"CORDIS-194838","H2020",2015,"2015-12-01","ICT","Environmental and social health determinants"
"docdbWO2007071316A1","Patent",2007,"2007-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20110043A1","Patent",2013,"2013-01-01","Energy","Energy supply"
"docdbRS20140358A1","Patent",2016,"2016-01-01","Heavy machinery","Energy supply"
"docdbRS20080432A","Patent",2010,"2010-01-01","Food","Bio-based innovation systems"
"docdbRS20050606A","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbRS20140263A1","Patent",2015,"2015-01-01","Process industries and materials","Infectious diseases"
"docdbRS20090434A","Patent",2011,"2011-01-01","Process industries and materials","Food systems"
"CORDIS-94906","FP7",2010,"2010-05-28","Better societies - governance, culture, education and the economy","Energy supply"
"559393-CREA-1-2015-1-RO-CULT-COOP1","Creative Europe",2015,"2015-01-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbRS20070108A","Patent",2009,"2009-01-01","Electric and electronic technologies","Low-carbon and clean industries"
"docdbRS20060142A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS1357U","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20050626A","Patent",2007,"2007-01-01","Process industries and materials","Advanced materials"
"docdbRS20060032A","Patent",2008,"2008-01-01","Process industries and materials","Advanced materials"
"CORDIS-109944","FP7",2013,"2013-09-01","ICT","Advanced computing and Big Data"
"CORDIS-86226","FP7",2008,"2008-01-01","Better societies - governance, culture, education and the economy","Protection and Security"
"docdbRS1049U","Patent",2009,"2009-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbRS20080486A","Patent",2010,"2010-01-01","Heavy machinery","Advanced materials"
"docdbWO2015183119A1","Patent",2015,"2015-01-01","Heavy machinery","Low-carbon and clean industries"
"CORDIS-95933","FP7",2010,"2010-09-01","ICT","Advanced computing and Big Data"
"docdbRS20060477A","Patent",2008,"2008-01-01","Health & wellbeing","Tools, technologies and digital solutions for health"
"docdbRS20050633A","Patent",2008,"2008-01-01","Heavy machinery","Tools, technologies and digital solutions for health"
"docdbRS20070148A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbWO2007112517A1","Patent",2007,"2007-01-01","Energy","Clean transport and mobility"
"docdbUS2012135095A1","Patent",2012,"2012-01-01","Process industries and materials","Low-carbon and clean industries"
"docdbRS20120302A1","Patent",2014,"2014-01-01","Process industries and materials","Advanced materials"
"docdbRS20070339A","Patent",2009,"2009-01-01","Energy","Energy storage"
"CORDIS-98431","FP7",2011,"2011-04-01","ICT","Advanced computing and Big Data"
"docdbWO2014026719A1","Patent",2014,"2014-01-01","Heavy machinery","Energy supply"
"docdbRS1399U","Patent",2014,"2014-01-01","Heavy machinery","Low-carbon and clean industries"
"docdbUS2013303274A1","Patent",2013,"2013-01-01","ICT","Advanced computing and Big Data"
"docdbRS20041128A","Patent",2008,"2008-01-01","Heavy machinery","Low-carbon and clean industries"
