"riactivityId","affiliationName","countryName","riactivityType"
"docdbRS20060687A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-2428","DM light d.o.o.","Serbia","Eureka"
"CORDIS-213759","EIPIX ENTERTAINMENT DOO NOVI SAD","Serbia","H2020"
"583516-CREA-1-2017-1-BA-CULT-COOP1","UDRUZENJE URBAN","Bosnia and Herzegovina","Creative Europe"
"docdbEP2136885A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbWO2016027044A1","KNORR BREMSE RAIL SYS UK LTD ","Bosnia and Herzegovina","Patent"
"docdbRS20150102A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbKR20150023944A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070074A","PREDUZECE ZA PROJEKTOVANJE ","Serbia","Patent"
"docdbUS2011035731A1","REVERSING LABS HOLDING GMBH","Serbia","Patent"
"CORDIS-191820","Mihajlo Pupin Institute (U Belgrade)","Serbia","CIP"
"docdbWO2009156874A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-87931","University of Niš","Serbia","FP7"
"CORDIS-210639","CHAMBER OF COMMERCE AND INDUSTRY OF REPUBLIKA SRPSKA","Bosnia and Herzegovina","H2020"
"CORDIS-210174","CITY OF SKOPJE","Macedonia","H2020"
"CORDIS-207205","BioIRC d.o.o. Kragujevac","Serbia","H2020"
"docdbRS20070167A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060362A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060163A","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP2215417A2","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-95216","St. Clement of Ohrid University of Bitola","Macedonia","FP7"
"docdbEP2596235A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-100501","University of Belgrade","Serbia","FP7"
"docdbRS878U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080124A","Individual applicant (Serbia)","Serbia","Patent"
"EUREKA-Network_Projects-1846","ALFANUM D.O.O.","Serbia","Eureka"
"docdbRS20130251A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070004A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090175A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120385A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-98108","CENTAR ZA PLAZMA TEHNOLOGII PLAZMA DOO","Macedonia","FP7"
"docdbRS20080227A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-99971","MUNICIPALITY OF BITOLA","Macedonia","FP7"
"CORDIS-105568","Astronomical Observatory Belgrade","Serbia","FP7"
"docdbRS1371U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-101673","INSTITUT ZA RATARSTVO I POVRTARSTVO","Serbia","FP7"
"docdbRS20100305A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2016153375A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060094A","Individual applicant (Serbia)","Serbia","Patent"
"docdbSE1600155A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1208U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050075A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-205256","CENTAR ZA PROMOCIJU NAUKE","Serbia","H2020"
"docdbRS1002U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2013038242A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20140628A1","MBRAINTRAIN DOO BEOGRAD ","Serbia","Patent"
"docdbRS20070486A","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2013173886A2","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"CORDIS-208430","BIOSENSE INSTITUTE - RESEARCH AND DEVELOPMENT INSTITUTE FOR INFORMATION TECHNOLOGIES IN BIOSYSTEMS","Serbia","H2020"
"docdbRS835U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1426U1","DRVO TRADE NV D O O ","Serbia","Patent"
"CORDIS-110899","La Citadelle Inzenjering","Serbia","FP7"
"docdbRS20080277A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060347A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080212A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120291A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-89033","MINISTARSTVO PROSVJETE I NAUKE","Montenegro","FP7"
"docdbES2385571A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060303A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080179A","Individual applicant (Serbia)","Serbia","Patent"
